"SPCD","COMMON_NAME","GENUS","SPECIES","VARIETY","SUBSPECIES","SCIENTIFIC_NAME","SPECIES_SYMBOL","STOCKING_SPGRPCD","FOREST_TYPE_SPGRPCD","JENKINS_SPGRPCD","JENKINS_SAPLING_ADJUSTMENT","SITETREE","SFTWD_HRDWD","WOODLAND","WOOD_SPGR_GREENVOL_DRYWT","WOOD_SPGR_GREENVOL_DRYWT_CIT","BARK_SPGR_GREENVOL_DRYWT","BARK_SPGR_GREENVOL_DRYWT_CIT","CARBON_RATIO_LIVE","DRYWT_TO_GREENWT_CONVERSION","CREATED_DATE","MODIFIED_DATE"
10,"FIR SPP.","ABIES","spp.","","","ABIES SP.","ABIES",1,220,3,0.60817,"","S","N",0.36,23,0.49,23,0.48,1.8102375898,"2021-09-03 22:38:52",""
11,"PACIFIC SILVER FIR","ABIES","amabilis","","","ABIES AMABILIS","ABAM",18,1,3,0.60193,"X","S","N",0.4,1,0.44,7,0.493,1.6918717492,"2021-09-03 22:38:53",""
12,"BALSAM FIR","ABIES","balsamea","","","ABIES BALSAMEA","ABBA",1,55,3,0.60817,"X","S","N",0.33,1,0.4,4,0.506,2.1623174206,"2021-09-03 22:38:53",""
14,"SANTA LUCIA OR BRISTLECONE FIR","ABIES","bracteata","","","ABIES BRACTEATA","ABBR",18,2,3,0.60193,"","S","N",0.36,24,0.49,24,0.48,1.8102375898,"2021-09-03 22:38:53",""
15,"WHITE FIR","ABIES","concolor","","","ABIES CONCOLOR","ABCO",15,2,3,0.60193,"X","S","N",0.37,1,0.56,3,0.51,1.9735132868,"2021-09-03 22:38:53",""
16,"FRASER FIR","ABIES","fraseri","","","ABIES FRASERI","ABFR",1,56,3,0.63086,"","S","N",0.36,24,0.49,24,0.48,1.8102375898,"2021-09-03 22:38:53",""
17,"GRAND FIR","ABIES","grandis","","","ABIES GRANDIS","ABGR",18,3,3,0.60193,"X","S","N",0.35,1,0.57,3,0.481,1.9902963507,"2021-09-03 22:38:53",""
18,"CORKBARK FIR","ABIES","lasiocarpa","arizonica","","ABIES LASIOCARPA VAR. ARIZONICA","ABLAA",1,4,3,0.60193,"X","S","N",0.36,24,0.49,24,0.48,1.8102375898,"2021-09-03 22:38:55",""
19,"SUBALPINE FIR","ABIES","lasiocarpa","","","ABIES LASIOCARPA","ABLA",1,4,3,0.60193,"X","S","N",0.31,1,0.5,3,0.482,1.4751879505,"2021-09-03 22:38:53",""
20,"CALIFORNIA RED FIR","ABIES","magnifica","","","ABIES MAGNIFICA","ABMA",18,5,3,0.60193,"X","S","N",0.36,1,0.44,3,0.515,2.0276560975,"2021-09-03 22:38:53",""
21,"SHASTA RED FIR","ABIES","shastensis","","","ABIES SHASTENSIS","ABSH",18,5,3,0.60193,"X","S","N",0.36,24,0.49,24,0.48,1.8102375898,"2021-09-03 22:38:53",""
22,"NOBLE FIR","ABIES","procera","","","ABIES PROCERA","ABPR",18,7,3,0.60193,"X","S","N",0.37,1,0.49,3,0.508,1.3414840013,"2021-09-03 22:38:53",""
40,"WHITE-CEDAR SPP.","CHAMAECYPARIS","spp.","","","CHAMAECYPARIS SP.","CHAMA4",20,220,1,0.63086,"","S","N",0.37,23,0.4,23,0.48,1.7896219254,"2021-09-03 22:38:52",""
