"VARIANT","LOCATION"
"AK",1004
"AK",1005
"AK",703
"AK",713
"AK",720
"AK",7400
"AK",7401
"AK",7402
"AK",7403
"AK",7404
"AK",7405
"AK",7406
"AK",7407
"AK",7408
"AK",8134
"AK",8135
"AK",8112
"BM",604
"BM",607
"BM",614
"BM",616
"BM",619
"CA",505
"CA",506
"CA",508
"CA",511
"CA",514
"CA",610
"CA",611
"CA",710
"CA",711
"CA",712
"CA",518
"CI",117
"CI",402
"CI",406
"CI",412
"CI",413
"CI",414
"CR",202
"CR",203
"CR",204
"CR",206
"CR",207
"CR",209
"CR",210
"CR",211
"CR",212
"CR",213
"CR",214
"CR",215
"CR",301
"CR",302
"CR",303
"CR",304
"CR",305
"CR",306
"CR",307
"CR",308
"CR",309
"CR",310
"CR",312
"CR",201
"CR",205
"CR",208
"CR",224
"CR",311
"CS",905
"CS",908
"CS",912
"CS",911
"EC",606
"EC",608
"EC",617
"EC",699
"EC",603
"EC",613
"EC",621
"EM",102
"EM",108
"EM",109
"EM",111
"EM",112
"EM",115
"IE",103
"IE",104
"IE",105
"IE",106
"IE",621
"IE",110
"IE",113
"IE",114
"IE",116
"IE",117
"IE",118
"IE",613
"IE",102
"IE",109
"IE",112
"KT",103
"KT",104
"KT",105
"KT",106
"KT",621
"KT",110
"KT",113
"KT",114
"KT",116
"KT",117
"KT",118
"KT",613
"LS",902
"LS",903
"LS",904
"LS",906
"LS",907
"LS",909
"LS",910
"LS",913
"LS",924
"NC",505
"NC",510
"NC",514
"NC",611
"NC",705
"NC",800
"NC",712
"NC",518
"NC",507
"NC",508
"NC",715
"NE",914
"NE",922
"NE",919
"NE",920
"NE",921
"NE",911
"NE",930
"OC",505
"OC",506
"OC",508
"OC",511
"OC",514
"OC",610
"OC",611
"OC",710
"OC",711
"OC",712
"OC",518
"OP",609
"OP",612
"OP",800
"OP",708
"OP",709
"OP",712
"PN",609
"PN",612
"PN",800
"PN",708
"PN",709
"PN",712
"SN",701
"SN",824
"SN",80101
"SN",80103
"SN",80104
"SN",80105
"SN",80106
"SN",80107
"SN",80211
"SN",80212
"SN",80213
"SN",80214
"SN",80215
"SN",80216
"SN",80217
"SN",80301
"SN",80302
"SN",80304
"SN",80305
"SN",80306
"SN",80307
"SN",80308
"SN",80401
"SN",80402
"SN",80403
"SN",80404
"SN",80405
"SN",80406
"SN",80501
"SN",80502
"SN",80504
"SN",80505
"SN",80506
"SN",80601
"SN",80602
"SN",80603
"SN",80604
"SN",80605
"SN",80701
"SN",80702
"SN",80704
"SN",80705
"SN",80706
"SN",80707
"SN",80717
"SN",80802
"SN",80803
"SN",80804
"SN",80805
"SN",80806
"SN",80811
"SN",80812
"SN",80813
"SN",80814
"SN",80901
"SN",80902
"SN",80903
"SN",80904
"SN",80905
"SN",80906
"SN",80907
"SN",80908
"SN",80909
"SN",80910
"SN",80911
"SN",80912
"SN",81001
"SN",81002
"SN",81003
"SN",81004
"SN",81005
"SN",81006
"SN",81007
"SN",81102
"SN",81103
"SN",81105
"SN",81107
"SN",81108
"SN",81109
"SN",81110
"SN",81111
"SN",81201
"SN",81202
"SN",81203
"SN",81205
"SN",81301
"SN",81303
"SN",81304
"SN",81307
"SN",81308
"SO",601
"SO",602
"SO",620
"SO",505
"SO",506
"SO",509
"SO",511
"SO",701
"SO",514
"SO",799
"SO",702
"TT",403
"TT",405
"TT",415
"TT",416
"UT",401
"UT",407
"UT",408
"UT",410
"UT",418
"UT",419
"UT",404
"UT",409
"UT",417
"WC",603
"WC",605
"WC",606
"WC",610
"WC",615
"WC",618
"WC",708
"WC",709
"WC",710
"WC",711
"WC",613
"WS",503
"WS",511
"WS",513
"WS",515
"WS",516
"WS",517
"WS",501
"WS",502
"WS",504
"WS",507
"WS",512
"WS",519
"WS",417
