"VARIANT","SEQ","FVS","FIA","PLANT"
"AK",1,"SF","011","ABAM"
"AK",2,"AF","019","ABLA"
"AK",3,"YC","042","CANO9"
"AK",4,"TA","071","LALA"
"AK",5,"WS","094","PIGL"
"AK",6,"LS","","PILU"
"AK",7,"BE","095","PIMA"
"AK",8,"SS","098","PISI"
"AK",9,"LP","108","PICO"
"AK",10,"RC","242","THPL"
"AK",11,"WH","263","TSHE"
"AK",12,"MH","264","TSME"
"AK",13,"OS","299","2TN"
"AK",14,"AD","350","ALNUS"
"AK",15,"RA","351","ALRU2"
"AK",16,"PB","375","BEPA"
"AK",17,"AB","376","BENE4"
"AK",18,"BA","741","POBA2"
"AK",19,"AS","746","POTR5"
"AK",20,"CW","747","POBAT"
"AK",21,"WI","920","SALIX"
"AK",22,"SU","928","SASC"
"AK",23,"OH","998","2TB"
"BM",1,"WP","119","PIMO3"
"BM",2,"WL","073","LAOC"
"BM",3,"DF","202","PSME"
"BM",4,"GF","017","ABGR"
"BM",5,"MH","264","TSME"
"BM",6,"WJ","064","JUOC"
"BM",7,"LP","108","PICO"
"BM",8,"ES","093","PIEN"
"BM",9,"AF","019","ABLA"
"BM",10,"PP","122","PIPO"
"BM",11,"WB","101","PIAL"
"BM",12,"LM","113","PIFL2"
"BM",13,"PY","231","TABR2"
"BM",14,"YC","042","CANO9"
"BM",15,"AS","746","POTR5"
"BM",16,"CW","747","POBAT"
"BM",17,"OS","299","2TN"
"BM",18,"OH","998","2TB"
"CA",1,"PC","041","CHLA"
"CA",2,"IC","081","CADE27"
"CA",3,"RC","242","THPL"
"CA",4,"WF","015","ABCO"
"CA",5,"RF","020","ABMA"
"CA",6,"SH","021","ABSH"
"CA",7,"DF","202","PSME"
"CA",8,"WH","263","TSHE"
"CA",9,"MH","264","TSME"
"CA",10,"WB","101","PIAL"
"CA",11,"KP","103","PIAT"
"CA",12,"LP","108","PICO"
"CA",13,"CP","109","PICO3"
"CA",14,"LM","113","PIFL2"
"CA",15,"JP","116","PIJE"
"CA",16,"SP","117","PILA"
"CA",17,"WP","119","PIMO3"
"CA",18,"PP","122","PIPO"
"CA",19,"MP","124","PIRA2"
"CA",20,"GP","127","PISA2"
"CA",21,"WJ","064","JUOC"
"CA",22,"BR","092","PIBR"
"CA",23,"GS","212","SEGI2"
"CA",24,"PY","231","TABR2"
"CA",25,"OS","299","2TN"
"CA",26,"LO","801","QUAG"
"CA",27,"CY","805","QUCH2"
"CA",28,"BL","807","QUDO"
"CA",29,"EO","811","QUEN"
"CA",30,"WO","815","QUGA4"
"CA",31,"BO","818","QUKE"
"CA",32,"VO","821","QULO"
"CA",33,"IO","839","QUWI2"
"CA",34,"BM","312","ACMA3"
"CA",35,"BU","333","AECA"
"CA",36,"RA","351","ALRU2"
"CA",37,"MA","361","ARME"
"CA",38,"GC","431","CHCHC4"
"CA",39,"DG","492","CONU4"
"CA",40,"FL","542","FRLA"
"CA",41,"WN","600","JUGLA"
"CA",42,"TO","631","LIDE3"
"CA",43,"SY","730","PLRA"
"CA",44,"AS","746","POTR5"
"CA",45,"CW","747","POBAT"
"CA",46,"WI","920","SALIX"
"CA",47,"CN","251","TOCA"
"CA",48,"CL","981","UMCA"
"CA",49,"OH","998","2TB"
"CA",50,"RW","211","SESE3"
"CI",1,"WP","119","PIMO3"
"CI",2,"WL","073","LAOC"
"CI",3,"DF","202","PSME"
"CI",4,"GF","017","ABGR"
"CI",5,"WH","263","TSHE"
"CI",6,"RC","242","THPL"
"CI",7,"LP","108","PICO"
"CI",8,"ES","093","PIEN"
"CI",9,"AF","019","ABLA"
"CI",10,"PP","122","PIPO"
"CI",11,"WB","101","PIAL"
"CI",12,"PY","231","TABR2"
"CI",13,"AS","746","POTR5"
"CI",14,"WJ","064","JUOC"
"CI",15,"MC","475","CELE3"
"CI",16,"LM","113","PIFL2"
"CI",17,"CW","747","POBAT"
"CI",18,"OS","299","2TN"
"CI",19,"OH","998","2TB"
"CR",1,"AF","019","ABLA"
"CR",2,"CB","018","ABLAA"
"CR",3,"DF","202","PSME"
"CR",4,"GF","017","ABGR"
"CR",5,"WF","015","ABCO"
"CR",6,"MH","264","TSME"
"CR",7,"RC","242","THPL"
"CR",8,"WL","073","LAOC"
"CR",9,"BC","102","PIAR"
"CR",10,"LM","113","PIFL2"
"CR",11,"LP","108","PICO"
"CR",12,"PI","106","PIED"
"CR",13,"PP","122","PIPO"
"CR",14,"WB","101","PIAL"
"CR",15,"SW","114","PIST3"
"CR",16,"UJ","065","JUOS"
"CR",17,"BS","096","PIPU"
"CR",18,"ES","093","PIEN"
"CR",19,"WS","094","PIGL"
"CR",20,"AS","746","POTR5"
"CR",21,"NC","749","POAN3"
"CR",22,"PW","745","PODEM"
"CR",23,"GO","814","QUGA"
"CR",24,"AW","803","QUAR"
"CR",25,"EM","810","QUEM"
"CR",26,"BK","823","QUMA2"
"CR",27,"SO","843","QUHY"
"CR",28,"PB","375","BEPA"
"CR",29,"AJ","063","JUDE2"
"CR",30,"RM","066","JUSC2"
"CR",31,"OJ","069","JUMO"
"CR",32,"ER","068","JUVI"
"CR",33,"PM","133","PIMO"
"CR",34,"PD","134","PIDI3"
"CR",35,"AZ","143","PIMOF"
"CR",36,"CI","118","PILE"
"CR",37,"OS","299","2TN"
"CR",38,"OH","998","2TB"
"CS",1,"RC","068","JUVI"
"CS",2,"JU","057","JUNIP"
"CS",3,"SP","110","PIEC2"
"CS",4,"VP","132","PIVI2"
"CS",5,"LP","131","PITA"
"CS",6,"OS","299","2TN"
"CS",7,"WP","129","PIST"
"CS",8,"WN","602","JUNI"
"CS",9,"BN","601","JUCI"
"CS",10,"TL","690","NYSSA"
"CS",11,"TS","694","NYBI"
"CS",12,"WT","691","NYAQ2"
"CS",13,"BG","693","NYSY"
"CS",14,"","",""
"CS",15,"SH","407","CAOV2"
"CS",16,"SL","405","CALA21"
"CS",17,"MH","409","CAAL27"
"CS",18,"PH","403","CAGL8"
"CS",19,"HI","400","CARYA"
"CS",20,"WH","401","CAAQ2"
"CS",21,"BH","402","CACO15"
"CS",22,"PE","404","CAIL2"
"CS",23,"BI","408","CATE9"
"CS",24,"AB","531","FAGR"
"CS",25,"BA","543","FRNI"
"CS",26,"PA","545","FRPR"
"CS",27,"UA","546","FRQU"
"CS",28,"EC","742","PODE3"
"CS",29,"RM","316","ACRU"
"CS",30,"BE","313","ACNE2"
"CS",31,"SV","317","ACSA2"
"CS",32,"BC","762","PRSE2"
"CS",33,"AE","972","ULAM"
"CS",34,"SG","461","CELA"
"CS",35,"HK","462","CEOC"
"CS",36,"WE","971","ULAL"
"CS",37,"EL","970","ULMUS"
"CS",38,"SI","974","ULPU"
"CS",39,"RL","975","ULRU"
"CS",40,"RE","977","ULTH"
"CS",41,"YP","621","LITU"
"CS",42,"BW","951","TIAM"
"CS",43,"SM","318","ACSA3"
"CS",44,"AS","540","FRAXI"
"CS",45,"WA","541","FRAM2"
"CS",46,"GA","544","FRPE"
"CS",47,"WO","802","QUAL"
"CS",48,"RO","833","QURU"
"CS",49,"SK","812","QUFA"
"CS",50,"BO","837","QUVE"
"CS",51,"SO","806","QUCO2"
"CS",52,"BJ","824","QUMA3"
"CS",53,"CK","826","QUMU"
"CS",54,"SW","804","QUBI"
"CS",55,"BR","823","QUMA2"
"CS",56,"SN","825","QUMI"
"CS",57,"PO","835","QUST"
"CS",58,"DO","836","QUSI2"
"CS",59,"CO","832","QUPR2"
"CS",60,"PN","830","QUPA2"
"CS",61,"CB","813","QUPA5"
"CS",62,"QI","817","QUIM"
"CS",63,"OV","822","QULY"
"CS",64,"WK","827","QUNI"
"CS",65,"NK","828","QUNU"
"CS",66,"WL","831","QUPH"
"CS",67,"QS","834","QUSH"
"CS",68,"","",""
"CS",69,"SS","931","SAAL5"
"CS",70,"OB","331","AEGL"
"CS",71,"CA","450","CATAL"
"CS",72,"PS","521","DIVI5"
"CS",73,"HL","552","GLTR"
"CS",74,"BP","741","POBA2"
