"VARIANT","REGION","HABPVR","PVCODE","PVREF"
"BM",6,"CAG4","",""
"BM",6,"CEF411","",""
"BM",6,"CLS5","",""
"BM",6,"CLS6","",""
"BM",6,"CAG111","CA","639"
"BM",6,"CAG111","CAC0","639"
"BM",6,"CAG111","CAC1","609"
"BM",6,"CAG111","CAC1","639"
"BM",6,"CAG111","CAC111","626"
"BM",6,"CAG111","CAC111","639"
"BM",6,"CAG111","CAC112","626"
"BM",6,"CAG111","CAC112","639"
"BM",6,"CAG111","CAC113","626"
"BM",6,"CAG111","CAC113","639"
"BM",6,"CAG111","CAC114","626"
"BM",6,"CAG111","CAC114","639"
"BM",6,"CAG111","CAC115","626"
"BM",6,"CAG111","CAC115","639"
"BM",6,"CAG111","CAC2","639"
"BM",6,"CAG111","CAC3","639"
"BM",6,"CAG111","CAC4","639"
"BM",6,"CAG111","CAC5","639"
"BM",6,"CAG111","CAC6","639"
"BM",6,"CAG111","CAF0","622"
"BM",6,"CAG111","CAF0","639"
"BM",6,"CAF0","CAF0","640"
"BM",6,"","CAF1","639"
"BM",6,"CAG111","CAF2","622"
"BM",6,"CAG111","CAF2","639"
"BM",6,"CAG111","CAF2","640"
"BM",6,"CAG111","CAF211","623"
"BM",6,"CAG111","CAF211","639"
"BM",6,"CAG111","CAF311","623"
"BM",6,"CAG111","CAF311","639"
"BM",6,"CAG111","CAF312","647"
"BM",6,"CAG111","CAF312","648"
"BM",6,"CAG111","CAF312","650"
"BM",6,"CAG111","CAF321","626"
"BM",6,"CAG111","CAF321","639"
"BM",6,"CAG111","CAF322","640"
"BM",6,"CAG111","CAF323","640"
"BM",6,"CAG111","CAF324","640"
"BM",6,"CAG111","CAG0","639"
"BM",6,"CAG111","CAG1","632"
"BM",6,"CAG111","CAG1","639"
"BM",6,"CAG111","CAG111","604"
"BM",6,"CAG111","CAG111","622"
"BM",6,"CAG111","CAG111","639"
"BM",6,"CAG111","CAG111","640"
"BM",6,"CAG111","CAG112","609"
"BM",6,"CAG111","CAG112","626"
"BM",6,"CAG111","CAG112","627"
"BM",6,"CAG111","CAG112","639"
"BM",6,"CAG111","CAG131","640"
"BM",6,"CAG111","CAG132","640"
"BM",6,"CAG111","CAG133","640"
"BM",6,"CAG111","CAG2","639"
"BM",6,"CAG111","CAG211","623"
"BM",6,"CAG111","CAG211","639"
"BM",6,"CAG111","CAG221","626"
"BM",6,"CAG111","CAG221","639"
"BM",6,"CAG111","CAG221","640"
"BM",6,"CAG111","CAG222","640"
"BM",6,"CAG111","CAG3","622"
"BM",6,"","CAG3","639"
"BM",6,"CAG111","CAG3","640"
"BM",6,"CAG111","CAG311","623"
"BM",6,"CAG111","CAG311","639"
"BM",6,"CAG111","CAG312","623"
"BM",6,"CAG111","CAG312","639"
"BM",6,"CAG111","CAG313","647"
"BM",6,"CAG111","CAG313","648"
"BM",6,"CAG111","CAG313","650"
"BM",6,"CAG111","CAG314","647"
"BM",6,"CAG111","CAG314","648"
"BM",6,"CAG111","CAG314","650"
"BM",6,"CAG111","CAG4","622"
"BM",6,"CAG111","CAG4","639"
"BM",6,"CAG111","CARR","639"
"BM",6,"CAG111","CARS","639"
"BM",6,"CAG111","CARX","639"
"BM",6,"CAG111","CAS0","639"
"BM",6,"CAG111","CAS211","623"
"BM",6,"CAG111","CAS211","639"
"BM",6,"CAG111","CAS212","647"
"BM",6,"CAG111","CAS212","648"
"BM",6,"CAG111","CAS212","650"
"BM",6,"CAG111","CAS221","626"
"BM",6,"CAG111","CAS221","639"
"BM",6,"CAG111","CAS311","626"
"BM",6,"CAG111","CAS311","639"
"BM",6,"CAG111","CAS311","640"
"BM",6,"CAG111","CAS312","640"
"BM",6,"CAG111","CAS313","640"
"BM",6,"CAG111","CAS411","623"
"BM",6,"CAG111","CAS411","639"
"BM",6,"CAG111","CAS412","647"
"BM",6,"CAG111","CAS412","648"
"BM",6,"CAG111","CAS412","650"
"BM",6,"CAG111","CAS421","626"
"BM",6,"CAG111","CAS421","639"
"BM",6,"CAG111","CAS422","640"
"BM",6,"CAG111","CAS423","640"
"BM",6,"CAG111","CAS424","640"
"BM",6,"CAG111","CAS511","640"
"BM",6,"CAG111","CAS512","640"
"BM",6,"CAG111","CAS611","640"
"BM",6,"CAG111","CAS621","640"
"BM",6,"CAG111","CAS622","640"
"BM",6,"CAG111","CAS623","640"
"BM",6,"CAG111","CAS624","640"
"BM",6,"CAG111","CAS625","640"
"BM",6,"CAG111","CAS626","640"
"BM",6,"CAG111","CAS627","640"
"BM",6,"CAG111","CAS628","640"
"BM",6,"CAG111","CAS629","640"
"BM",6,"CAG111","CAXX","639"
"BM",6,"","CC","639"
"BM",6,"","CCC0","639"
"BM",6,"","CCC1","639"
