"STATE_NAME","FIPS_CODE","STATE_ABBRV"
"ALABAMA",1,"AL"
"ALASKA",2,"AK"
"ARIZONA",4,"AZ"
"ARKANSAS",5,"AR"
"CALIFORNIA",6,"CA"
"COLORADO",8,"CO"
"CONNECTICUT",9,"CT"
"DELAWARE",10,"DE"
"DISTRICT OF COLUMBIA",11,"DC"
"FLORIDA",12,"FL"
"GEORGIA",13,"GA"
"HAWAII",15,"HI"
"IDAHO",16,"ID"
"ILLINOIS",17,"IL"
"INDIANA",18,"IN"
"IOWA",19,"IA"
"KANSAS",20,"KS"
"KENTUCKY",21,"KY"
"LOUISIANA",22,"LA"
"MAINE",23,"ME"
"MARYLAND",24,"MD"
"MASSACHUSETTS",25,"MA"
"MICHIGAN",26,"MI"
"MINNESOTA",27,"MN"
"MISSISSIPPI",28,"MS"
"MISSOURI",29,"MO"
"MONTANA",30,"MT"
"NEBRASKA",31,"NE"
"NEVADA",32,"NV"
"NEW HAMPSHIRE",33,"NH"
"NEW JERSEY",34,"NJ"
"NEW MEXICO",35,"NM"
"NEW YORK",36,"NY"
"NORTH CAROLINA",37,"NC"
"NORTH DAKOTA",38,"ND"
"OHIO",39,"OH"
"OKLAHOMA",40,"OK"
"OREGON",41,"OR"
"PENNSYLVANIA",42,"PA"
"RHODE ISLAND",44,"RI"
"SOUTH CAROLINA",45,"SC"
"SOUTH DAKOTA",46,"SD"
"TENNESSEE",47,"TN"
"TEXAS",48,"TX"
"UTAH",49,"UT"
"VERMONT",50,"VT"
"VIRGINIA",51,"VA"
"WASHINGTON",53,"WA"
"WEST VIRGINIA",54,"WV"
"WISCONSIN",55,"WI"
"WYOMING",56,"WY"
"AMERICAN SAMOA",60,"AS"
"FEDERATED STATES OF MICRONESIA",64,"FM"
"GUAM",66,"GU"
"MARSHALL ISLANDS",68,"MH"
"NORTHERN MARIANA ISLANDS",69,"MP"
"PALAU",70,"PW"
"PUERTO RICO",72,"PR"
"US VIRGIN ISLANDS",78,"VI"
